sexo,edad,escol,Tam_loc,wvs_agg_autocracy_support,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_civil_society_organizations,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_democratic_system_evaluation,wvs_agg_economic_ideology,wvs_agg_gender_role_traditionalism,wvs_agg_importance_of_life_domains,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_offline_political_participation,wvs_agg_postmaterialist_values,wvs_agg_religious_belief,wvs_agg_religious_practice_and_self_identification,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_subjective_wellbeing,wvs_agg_voluntary_association_active_membership
1.0,35-44,2.0,,4.0,4.0,7.75,4.0,4.5,2.5,3.75,4.0,1.0,5.25,7.0,2.8,10.0,,1.0,5.5,5.5,1.9,1.6428571428571428,1.6666666666666667,1.0,1.0,5.5,5.666666666666668,6.0
2.0,55-64,1.0,2.0,,7.0,5.5,4.0,1.0,4.0,2.5,5.5,1.0,6.0,2.5,2.8,1.0,1.0,1.0,3.25,5.5,2.62,1.0,1.0,1.0,1.0,1.0,6.0,1.0
2.0,19-24,3.0,2.0,5.0,7.0,5.5,1.0,1.75,5.5,3.454545454545454,1.0,1.0,6.0,2.5,4.6,1.0,10.0,1.3333333333333333,5.5,5.5,9.1,10.0,2.6666666666666665,1.0,3.25,1.0,7.666666666666667,6.0
2.0,55-64,2.0,2.0,4.0,4.0,7.75,4.0,5.75,5.5,4.25,5.5,1.0,4.75,8.5,4.6,1.0,10.0,8.0,3.25,5.5,2.44,2.9285714285714284,1.0,1.0,1.0,1.0,5.0,4.0
1.0,19-24,4.0,2.0,4.0,7.0,5.5,4.0,2.25,5.5,3.25,4.0,1.0,4.5,2.5,4.6,10.0,10.0,1.0,3.25,5.5,4.6,2.2857142857142856,1.3333333333333333,1.0,3.25,10.0,6.333333333333333,7.0
1.0,25-34,3.0,2.0,4.0,4.0,10.0,10.0,7.25,10.0,9.5,10.0,1.0,4.25,5.5,8.2,10.0,,1.3333333333333333,7.75,1.0,3.34,1.6428571428571428,2.6666666666666665,1.0,3.25,1.0,3.0,2.0
1.0,55-64,1.0,2.0,4.0,7.0,10.0,7.0,3.5,10.0,8.5,10.0,1.0,4.25,4.0,1.0,10.0,1.0,2.0,1.0,3.25,2.8,1.6428571428571428,1.0,1.0,3.25,10.0,3.333333333333334,1.0
2.0,25-34,1.0,2.0,4.0,7.0,7.75,10.0,7.25,4.0,6.75,10.0,1.0,4.5,4.0,1.0,10.0,,4.666666666666667,3.25,1.0,2.9800000000000004,1.6428571428571428,9.0,1.0,5.5,10.0,5.666666666666668,2.0
2.0,35-44,3.0,2.0,5.5,10.0,7.75,7.0,1.0,10.0,7.250000000000001,8.5,10.0,5.5,5.5,1.0,10.0,1.0,7.0,3.25,3.25,2.9800000000000004,1.6428571428571428,4.0,1.0,3.25,1.0,5.333333333333333,2.0
1.0,0-18,2.0,2.0,5.5,10.0,10.0,10.0,4.25,10.0,8.25,10.0,10.0,4.25,5.5,2.8,10.0,10.0,2.6666666666666665,1.0,5.5,2.9800000000000004,1.6428571428571428,3.0,1.0,3.25,5.5,5.333333333333333,1.0
1.0,45-54,3.0,2.0,2.5,7.0,3.25,7.0,5.5,8.5,7.250000000000001,10.0,1.0,4.0,1.0,6.3999999999999995,10.0,,2.3333333333333335,3.25,1.0,2.62,1.6428571428571428,2.0,1.0,1.0,10.0,5.0,3.0
1.0,35-44,3.0,2.0,5.0,10.0,5.5,7.0,3.0,8.5,7.5,10.0,1.0,4.75,1.0,4.6,,10.0,6.666666666666667,3.25,3.25,4.6,1.6428571428571428,1.3333333333333333,1.0,1.0,5.5,6.666666666666667,1.0
2.0,19-24,4.0,2.0,,7.0,5.5,4.0,1.75,10.0,7.250000000000001,10.0,1.0,4.0,,4.6,1.0,1.0,,1.0,3.25,2.26,5.5,1.0,1.0,3.25,10.0,6.0,1.0
1.0,25-34,3.0,2.0,4.0,7.0,7.75,7.0,6.0,10.0,8.25,10.0,1.0,3.5,4.0,2.8,1.0,1.0,1.0,1.0,3.25,3.34,1.6428571428571428,2.3333333333333335,1.0,3.25,10.0,6.333333333333333,1.0
2.0,25-34,1.0,2.0,4.0,7.0,10.0,10.0,4.75,10.0,7.0,8.5,1.0,3.25,1.0,4.6,5.5,10.0,6.666666666666667,1.0,1.0,3.475,1.6428571428571428,2.3333333333333335,1.0,5.5,1.0,4.333333333333333,5.0
1.0,45-54,1.0,2.0,2.5,7.0,7.75,7.0,5.75,10.0,10.0,10.0,1.0,5.0,4.0,2.8,10.0,1.0,3.6666666666666665,1.0,1.0,1.3,6.142857142857142,4.0,1.0,1.0,10.0,3.0,1.0
1.0,35-44,5.0,2.0,4.0,4.0,5.5,7.0,7.25,5.5,4.25,10.0,1.0,5.25,7.0,2.8,10.0,10.0,4.0,7.75,3.25,2.9800000000000004,1.6428571428571428,5.0,1.0,5.5,10.0,5.0,5.0
2.0,25-34,3.0,2.0,4.0,10.0,10.0,10.0,8.25,10.0,6.75,10.0,10.0,4.5,2.5,1.0,10.0,1.0,2.3333333333333335,1.0,1.0,3.16,5.5,4.333333333333333,1.0,3.25,10.0,4.0,3.0
1.0,19-24,3.0,2.0,,4.0,5.5,4.0,3.0,10.0,4.25,10.0,1.0,4.333333333333333,5.5,2.8,10.0,10.0,1.6666666666666667,1.0,5.5,3.34,1.0,1.3333333333333333,1.0,1.0,1.0,7.0,1.0
2.0,25-34,3.0,2.0,7.0,1.0,10.0,4.0,6.5,8.5,4.75,10.0,1.0,4.75,2.5,4.6,1.0,10.0,1.0,3.25,5.5,4.0,2.2857142857142856,5.333333333333333,1.0,1.0,5.5,7.0,5.0
1.0,45-54,1.0,2.0,1.0,7.0,1.0,7.0,1.0,4.0,4.25,4.0,1.0,4.5,7.0,4.6,,10.0,1.0,5.5,7.75,3.5199999999999996,1.0,1.0,1.0,3.25,10.0,6.0,2.0
1.0,25-34,3.0,2.0,2.5,1.0,7.75,7.0,2.5,7.0,4.75,2.5,1.0,6.75,7.0,2.8,1.0,1.0,5.0,3.25,5.5,2.44,2.2857142857142856,5.0,1.0,1.0,10.0,5.0,2.0
2.0,25-34,4.0,2.0,4.0,1.0,7.75,4.0,7.0,4.0,2.5,8.5,10.0,7.75,10.0,4.6,10.0,10.0,,1.0,7.75,2.62,5.5,1.0,1.0,3.25,5.5,5.666666666666668,5.0
2.0,25-34,3.0,2.0,5.0,4.0,5.5,7.0,6.5,5.5,5.0,10.0,1.0,6.25,7.0,1.0,1.0,5.5,1.0,3.25,3.25,3.25,3.571428571428571,3.0,1.0,1.0,1.0,5.0,5.0
2.0,35-44,5.0,2.0,5.5,1.0,5.5,4.0,6.25,4.0,5.249999999999999,,1.0,7.25,4.0,6.3999999999999995,1.0,10.0,4.0,1.0,5.5,2.44,2.2857142857142856,6.666666666666667,1.0,5.5,1.0,7.0,5.0
2.0,65+,1.0,3.0,,1.0,5.5,7.0,5.5,10.0,9.25,10.0,1.0,6.5,7.0,10.0,10.0,1.0,1.0,1.0,3.25,3.34,1.6428571428571428,1.0,10.0,5.5,5.5,7.0,1.0
1.0,19-24,5.0,3.0,5.0,1.0,5.5,7.0,1.0,7.0,7.75,8.5,1.0,5.5,7.0,6.3999999999999995,1.0,1.0,5.666666666666668,1.0,5.5,3.5199999999999996,4.857142857142857,4.0,10.0,1.0,10.0,2.6666666666666665,1.0
1.0,35-44,3.0,3.0,7.0,1.0,5.5,4.0,1.0,2.5,3.75,2.5,1.0,3.25,7.0,8.2,10.0,1.0,1.0,1.0,5.5,3.34,4.857142857142857,1.0,10.0,1.0,10.0,7.333333333333334,1.0
1.0,19-24,3.0,1.0,,10.0,7.75,10.0,1.0,1.0,1.75,5.5,1.0,5.5,7.0,8.2,1.0,1.0,1.0,1.0,7.75,3.5199999999999996,1.6428571428571428,1.0,10.0,1.0,10.0,7.333333333333334,1.0
2.0,35-44,1.0,1.0,,1.0,5.5,4.0,3.6666666666666665,2.5,8.0,1.0,1.0,3.0,8.5,8.2,10.0,1.0,4.0,1.0,7.75,4.6,4.857142857142857,6.333333333333333,10.0,3.25,10.0,4.666666666666667,1.0
2.0,25-34,5.0,3.0,5.0,1.0,3.25,7.0,1.0,2.5,6.25,7.0,1.0,7.75,7.0,6.3999999999999995,10.0,1.0,3.6666666666666665,1.0,1.0,3.16,4.857142857142857,3.333333333333334,10.0,1.0,10.0,7.333333333333334,1.0
1.0,19-24,3.0,3.0,5.0,4.0,3.25,7.0,2.75,2.5,5.999999999999999,5.5,1.0,7.0,7.0,2.8,10.0,10.0,1.0,3.25,3.25,3.5199999999999996,1.6428571428571428,3.333333333333334,1.0,1.0,10.0,6.333333333333333,1.0
1.0,55-64,2.0,1.0,4.0,1.0,7.75,7.0,3.0,10.0,7.75,10.0,10.0,5.5,7.0,8.2,1.0,1.0,1.0,5.5,3.25,3.5199999999999996,2.9285714285714284,1.0,10.0,7.75,1.0,7.0,1.0
1.0,25-34,5.0,3.0,5.999999999999999,7.0,5.5,4.0,2.25,4.0,5.999999999999999,7.0,1.0,3.25,7.0,4.6,10.0,1.0,7.0,1.0,7.75,3.34,4.857142857142857,10.0,1.0,1.0,10.0,6.333333333333333,1.0
1.0,35-44,5.0,3.0,5.999999999999999,4.0,5.5,4.0,2.0,1.0,8.75,10.0,1.0,4.25,7.0,4.6,10.0,1.0,4.666666666666667,5.5,5.5,2.8,4.857142857142857,3.0,1.0,1.0,10.0,5.333333333333333,1.0
1.0,25-34,3.0,3.0,5.999999999999999,7.0,5.5,4.0,3.0,2.5,4.0,4.0,1.0,6.75,7.0,10.0,10.0,1.0,1.6666666666666667,1.0,5.5,3.34,2.2857142857142856,1.0,10.0,3.25,10.0,5.333333333333333,1.0
2.0,19-24,3.0,3.0,7.0,4.0,7.75,1.0,3.5,10.0,4.75,10.0,1.0,7.5,7.0,4.6,1.0,1.0,1.3333333333333333,1.0,3.25,3.5199999999999996,1.6428571428571428,1.3333333333333333,1.0,1.0,1.0,4.0,1.0
1.0,19-24,5.0,3.0,5.999999999999999,4.0,5.5,7.0,2.0,7.0,4.75,5.5,1.0,5.75,7.0,2.8,10.0,1.0,1.6666666666666667,1.0,7.75,2.8,2.9285714285714284,3.0,1.0,5.5,1.0,5.666666666666668,1.0
1.0,19-24,5.0,3.0,5.999999999999999,4.0,5.5,7.0,3.25,7.0,8.0,4.0,1.0,6.75,7.0,4.6,10.0,1.0,6.333333333333333,1.0,3.25,3.16,1.6428571428571428,8.0,1.0,1.0,10.0,5.666666666666668,1.0
1.0,25-34,5.0,3.0,7.0,1.0,10.0,7.0,4.75,4.0,8.0,4.0,1.0,5.5,7.0,6.3999999999999995,10.0,1.0,4.0,1.0,1.0,2.62,2.2857142857142856,4.666666666666667,10.0,3.25,10.0,6.0,1.0
2.0,19-24,3.0,3.0,5.0,4.0,5.5,7.0,5.0,4.0,7.250000000000001,7.0,1.0,5.75,7.0,4.6,1.0,1.0,4.0,1.0,3.25,3.5199999999999996,2.2857142857142856,4.0,10.0,3.25,10.0,6.0,1.0
1.0,35-44,5.0,3.0,7.0,7.0,3.25,7.0,2.75,1.0,5.75,7.0,1.0,4.75,7.0,4.6,10.0,1.0,7.0,5.5,3.25,3.16,2.2857142857142856,5.666666666666668,1.0,1.0,10.0,5.666666666666668,1.0
1.0,0-18,3.0,3.0,5.999999999999999,1.0,5.5,10.0,4.0,2.5,4.6000000000000005,1.0,1.0,,7.0,6.3999999999999995,10.0,1.0,5.0,1.0,5.5,3.16,1.6428571428571428,1.0,10.0,5.5,1.0,5.333333333333333,1.0
2.0,0-18,3.0,3.0,,7.0,5.5,4.0,3.5,1.0,7.0,4.0,1.0,5.333333333333333,8.5,8.2,10.0,1.0,1.0,1.0,7.75,3.16,2.2857142857142856,1.0,1.0,5.5,10.0,5.0,1.0
2.0,35-44,2.0,3.0,,4.0,7.75,4.0,4.5,5.5,6.25,4.0,1.0,,7.0,4.6,1.0,1.0,1.0,3.25,5.5,3.34,2.9285714285714284,1.0,1.0,3.25,1.0,6.666666666666667,1.0
2.0,45-54,1.0,3.0,10.0,7.0,5.5,4.0,4.0,1.0,1.5000000000000002,2.5,1.0,6.25,8.5,10.0,10.0,10.0,2.0,3.25,7.75,3.5199999999999996,2.2857142857142856,2.0,1.0,7.75,1.0,7.0,1.0
2.0,25-34,3.0,3.0,5.999999999999999,1.0,10.0,4.0,4.0,7.0,6.75,7.0,1.0,5.5,7.0,8.2,10.0,1.0,6.0,1.0,7.75,3.34,2.9285714285714284,3.333333333333334,1.0,3.25,1.0,6.0,1.0
1.0,65+,1.0,3.0,3.0,7.0,5.5,4.0,3.25,7.0,5.75,7.0,10.0,5.25,7.0,8.2,10.0,10.0,1.0,3.25,5.5,3.34,4.214285714285714,1.3333333333333333,1.0,5.5,1.0,6.666666666666667,1.0
2.0,25-34,3.0,3.0,5.5,4.0,7.75,4.0,5.5,7.0,8.75,5.5,1.0,5.25,7.0,4.6,10.0,10.0,5.0,1.0,7.75,3.34,5.5,5.0,1.0,5.5,10.0,7.0,1.0
1.0,0-18,3.0,3.0,,7.0,7.75,1.0,4.5,7.0,9.0,4.0,1.0,,7.0,2.8,10.0,1.0,1.3333333333333333,1.0,7.75,3.16,1.0,1.3333333333333333,1.0,5.5,1.0,5.666666666666668,1.0
1.0,35-44,5.0,3.0,5.999999999999999,7.0,5.5,4.0,1.75,2.5,6.25,2.5,10.0,3.0,5.5,8.2,10.0,1.0,3.0,1.0,7.75,3.5199999999999996,2.9285714285714284,3.0,1.0,10.0,5.5,4.333333333333333,1.0
2.0,19-24,2.0,3.0,,7.0,7.75,7.0,1.0,7.0,4.5,7.0,1.0,,2.5,8.2,1.0,1.0,1.0,1.0,5.5,3.5199999999999996,1.0,1.0,1.0,5.5,10.0,7.0,1.0
1.0,55-64,1.0,3.0,3.0,1.0,3.25,4.0,1.0,4.0,6.5,7.0,1.0,4.5,5.5,8.2,1.0,1.0,1.0,1.0,3.25,3.5199999999999996,2.9285714285714284,1.0,10.0,7.75,10.0,5.333333333333333,1.0
2.0,35-44,1.0,3.0,,4.0,7.75,7.0,3.6666666666666665,10.0,9.25,10.0,1.0,3.0,5.5,8.2,1.0,1.0,1.0,1.0,3.25,3.34,1.6428571428571428,1.0,1.0,3.25,10.0,7.333333333333334,1.0
1.0,45-54,5.0,3.0,7.0,7.0,3.25,1.0,5.0,7.0,7.5,7.0,10.0,6.75,5.5,6.3999999999999995,10.0,1.0,7.666666666666667,7.75,5.5,2.3499999999999996,6.142857142857142,8.0,1.0,1.0,10.0,7.0,9.0
1.0,19-24,5.0,3.0,8.0,7.0,3.25,4.0,3.75,1.0,6.25,10.0,10.0,5.5,7.0,6.3999999999999995,5.5,1.0,8.0,1.0,3.25,3.16,1.6428571428571428,5.666666666666668,10.0,1.0,1.0,5.666666666666668,1.0
2.0,35-44,5.0,3.0,10.0,4.0,5.5,4.0,2.75,10.0,9.25,10.0,1.0,10.0,8.5,1.0,1.0,1.0,1.0,3.25,3.25,3.34,1.6428571428571428,1.0,1.0,1.0,10.0,7.0,1.0
2.0,45-54,3.0,3.0,4.0,7.0,7.75,7.0,1.0,4.0,7.0,8.5,1.0,8.75,5.5,10.0,5.5,1.0,3.333333333333334,3.25,3.25,3.5199999999999996,1.6428571428571428,3.6666666666666665,10.0,5.5,10.0,7.333333333333334,1.0
2.0,25-34,5.0,3.0,5.0,7.0,3.25,4.0,2.25,5.5,8.75,7.0,1.0,5.25,7.0,2.8,10.0,1.0,4.666666666666667,1.0,5.5,2.9800000000000004,3.571428571428571,2.3333333333333335,10.0,1.0,10.0,5.666666666666668,1.0
1.0,55-64,3.0,3.0,5.0,7.0,5.5,1.0,4.25,5.5,3.0,4.0,1.0,5.75,7.0,4.6,10.0,1.0,4.5,1.0,5.5,3.9250000000000003,2.2857142857142856,4.333333333333333,10.0,5.5,10.0,5.666666666666668,1.0
1.0,25-34,5.0,3.0,5.5,7.0,5.5,4.0,3.25,2.5,7.5,10.0,1.0,5.0,5.5,6.3999999999999995,1.0,1.0,3.333333333333334,1.0,5.5,3.25,2.2857142857142856,1.3333333333333333,10.0,3.25,10.0,3.0,1.0
2.0,35-44,2.0,3.0,4.0,10.0,5.5,1.0,4.75,8.5,7.0,7.0,1.0,6.25,8.5,4.6,10.0,1.0,5.333333333333333,1.0,7.75,3.9250000000000003,1.6428571428571428,4.333333333333333,10.0,3.25,10.0,6.666666666666667,1.0
2.0,25-34,2.0,3.0,5.999999999999999,4.0,5.5,7.0,6.5,10.0,9.25,10.0,1.0,5.75,1.0,6.3999999999999995,10.0,1.0,6.333333333333333,1.0,1.0,3.34,1.0,3.333333333333334,10.0,1.0,1.0,3.333333333333334,2.0
1.0,19-24,4.0,3.0,4.0,7.0,5.5,4.0,5.0,5.5,5.75,5.5,1.0,6.5,7.0,6.3999999999999995,10.0,1.0,4.333333333333333,1.0,3.25,2.8,4.857142857142857,3.6666666666666665,10.0,5.5,10.0,6.333333333333333,1.0
2.0,35-44,1.0,3.0,4.0,7.0,7.75,1.0,4.0,1.0,4.5,5.5,1.0,7.5,7.0,8.2,10.0,1.0,5.0,1.0,5.5,2.8,1.6428571428571428,5.0,1.0,7.75,10.0,4.666666666666667,2.0
2.0,0-18,1.0,3.0,4.0,4.0,5.5,7.0,6.0,7.0,7.75,5.5,1.0,2.5,5.5,2.8,1.0,1.0,4.333333333333333,1.0,3.25,3.5199999999999996,1.6428571428571428,2.6666666666666665,1.0,5.5,1.0,6.333333333333333,1.0
1.0,25-34,2.0,3.0,4.0,4.0,7.75,4.0,5.5,1.0,5.5,4.0,1.0,3.5,5.5,6.3999999999999995,1.0,1.0,6.666666666666667,1.0,5.5,3.34,2.2857142857142856,7.0,1.0,5.5,1.0,6.0,2.0
2.0,25-34,5.0,3.0,5.0,7.0,5.5,4.0,4.25,5.5,7.5,2.5,1.0,7.0,8.5,10.0,1.0,1.0,1.0,7.75,7.75,2.9800000000000004,5.5,1.6666666666666667,1.0,7.75,10.0,7.0,2.0
1.0,0-18,5.0,3.0,5.999999999999999,4.0,5.5,4.0,1.25,1.0,3.0,4.0,1.0,6.25,7.0,8.2,10.0,1.0,4.0,1.0,3.25,2.8,4.857142857142857,3.0,1.0,7.75,10.0,4.0,1.0
1.0,19-24,5.0,3.0,4.0,4.0,5.5,7.0,4.75,7.0,6.75,2.5,1.0,5.5,5.5,4.6,10.0,1.0,1.6666666666666667,1.0,5.5,2.08,3.571428571428571,1.6666666666666667,1.0,7.75,1.0,6.0,1.0
1.0,35-44,4.0,3.0,,10.0,5.5,1.0,5.5,2.5,3.25,2.5,1.0,5.75,5.5,1.0,1.0,1.0,2.6666666666666665,1.0,5.5,3.34,2.2857142857142856,3.0,1.0,7.75,10.0,7.666666666666667,1.0
1.0,25-34,4.0,3.0,5.999999999999999,1.0,7.75,7.0,3.5,2.5,3.4999999999999996,2.5,1.0,5.25,7.0,10.0,1.0,1.0,1.3333333333333333,1.0,7.75,3.5199999999999996,1.0,1.3333333333333333,1.0,5.5,1.0,6.666666666666667,1.0
1.0,45-54,2.0,3.0,5.999999999999999,4.0,5.5,7.0,3.25,10.0,8.0,10.0,10.0,5.25,7.0,10.0,10.0,1.0,1.3333333333333333,1.0,7.75,2.62,3.571428571428571,1.3333333333333333,1.0,3.25,1.0,7.0,1.0
2.0,25-34,4.0,3.0,7.0,4.0,7.75,4.0,10.0,7.0,6.75,7.0,1.0,,7.0,8.2,10.0,1.0,1.6666666666666667,1.0,5.5,1.6749999999999998,1.0,10.0,1.0,7.75,1.0,7.333333333333334,1.0
1.0,45-54,3.0,1.0,5.999999999999999,4.0,5.5,7.0,1.0,10.0,8.5,7.0,1.0,7.75,7.0,4.6,10.0,1.0,4.0,1.0,7.75,2.62,2.2857142857142856,5.666666666666668,10.0,5.5,10.0,6.666666666666667,1.0
1.0,19-24,5.0,1.0,7.0,7.0,5.5,1.0,1.0,7.0,4.75,4.0,1.0,4.0,5.5,10.0,10.0,1.0,1.0,1.0,5.5,2.62,1.6428571428571428,1.0,10.0,5.5,10.0,6.333333333333333,4.0
1.0,25-34,5.0,1.0,4.0,7.0,5.5,4.0,1.0,7.0,4.5,7.0,10.0,4.0,5.5,6.3999999999999995,1.0,1.0,6.333333333333333,1.0,7.75,3.16,2.2857142857142856,4.333333333333333,10.0,3.25,10.0,6.666666666666667,1.0
1.0,55-64,3.0,1.0,5.0,4.0,5.5,7.0,1.0,7.0,7.75,7.0,10.0,6.0,8.5,4.6,10.0,1.0,7.0,5.5,7.75,2.9800000000000004,2.2857142857142856,1.0,10.0,7.75,10.0,6.333333333333333,1.0
2.0,45-54,1.0,1.0,4.0,4.0,7.75,4.0,1.0,10.0,7.6000000000000005,,1.0,4.666666666666667,5.5,4.6,10.0,1.0,5.666666666666668,1.0,7.75,3.16,2.2857142857142856,1.0,10.0,3.25,10.0,6.666666666666667,1.0
2.0,25-34,3.0,1.0,3.0,4.0,7.75,4.0,3.25,1.0,6.25,1.0,10.0,5.5,7.0,8.2,1.0,1.0,10.0,3.25,7.75,3.34,4.857142857142857,4.0,1.0,5.5,10.0,4.666666666666667,3.0
1.0,25-34,5.0,1.0,7.0,10.0,5.5,1.0,4.75,4.0,5.75,4.0,1.0,6.5,7.0,8.2,10.0,1.0,5.333333333333333,1.0,5.5,2.44,4.857142857142857,1.0,10.0,3.25,10.0,6.666666666666667,1.0
2.0,65+,2.0,1.0,4.0,10.0,10.0,7.0,3.333333333333334,7.0,1.5000000000000002,1.0,10.0,3.5,7.0,10.0,10.0,1.0,1.0,1.0,7.75,2.9800000000000004,1.6428571428571428,1.0,10.0,10.0,1.0,7.0,1.0
1.0,25-34,3.0,1.0,7.0,4.0,7.75,4.0,1.0,10.0,8.5,10.0,1.0,8.75,5.5,4.6,1.0,10.0,10.0,1.0,5.5,2.62,2.2857142857142856,7.333333333333334,10.0,5.5,10.0,6.666666666666667,1.0
1.0,0-18,4.0,1.0,5.0,4.0,7.75,4.0,3.25,4.0,4.0,4.0,10.0,5.75,5.5,8.2,10.0,1.0,3.0,3.25,1.0,2.62,1.6428571428571428,1.0,10.0,1.0,10.0,6.666666666666667,5.0
2.0,25-34,5.0,1.0,7.0,7.0,5.5,4.0,5.5,4.0,5.249999999999999,5.5,10.0,3.25,7.0,4.6,10.0,1.0,7.0,3.25,3.25,2.9800000000000004,6.142857142857142,1.0,1.0,7.75,10.0,5.666666666666668,1.0
1.0,0-18,4.0,1.0,5.999999999999999,10.0,5.5,1.0,6.5,4.0,4.75,4.0,1.0,5.5,7.0,4.6,10.0,1.0,3.0,1.0,3.25,2.62,2.9285714285714284,2.6666666666666665,10.0,3.25,10.0,5.666666666666668,1.0
1.0,55-64,5.0,1.0,7.0,1.0,7.75,7.0,3.25,4.0,5.999999999999999,4.0,1.0,4.0,7.0,4.6,10.0,1.0,3.333333333333334,1.0,3.25,2.44,4.857142857142857,1.0,10.0,3.25,1.0,7.333333333333334,2.0
1.0,45-54,1.0,1.0,5.0,7.0,5.5,4.0,2.25,7.0,6.5,5.5,1.0,3.75,7.0,8.2,10.0,1.0,1.0,1.0,5.5,2.44,1.6428571428571428,1.0,10.0,3.25,10.0,7.666666666666667,1.0
1.0,35-44,5.0,1.0,8.0,4.0,7.75,4.0,2.75,2.5,4.25,4.0,10.0,5.75,5.5,4.6,10.0,1.0,1.6666666666666667,3.25,5.5,2.8,5.5,1.0,10.0,3.25,10.0,6.0,3.0
2.0,65+,2.0,1.0,5.999999999999999,4.0,10.0,4.0,3.5,4.0,6.25,5.5,1.0,4.5,7.0,10.0,10.0,1.0,2.3333333333333335,1.0,3.25,2.8,1.0,1.3333333333333333,10.0,5.5,10.0,6.333333333333333,2.0
1.0,35-44,5.0,1.0,5.999999999999999,4.0,7.75,4.0,4.0,4.0,5.75,5.5,10.0,4.25,7.0,4.6,10.0,1.0,1.0,3.25,5.5,3.16,2.9285714285714284,1.0,10.0,3.25,5.5,6.666666666666667,1.0
2.0,19-24,5.0,1.0,5.999999999999999,7.0,5.5,1.0,4.0,5.5,5.249999999999999,4.0,1.0,4.0,7.0,10.0,10.0,1.0,1.0,1.0,3.25,2.8,1.6428571428571428,1.0,10.0,3.25,10.0,5.666666666666668,1.0
2.0,0-18,3.0,3.0,5.0,4.0,7.75,4.0,4.5,4.0,2.5,4.0,1.0,3.25,4.0,4.6,10.0,10.0,6.0,1.0,5.5,3.16,1.0,1.3333333333333333,10.0,5.5,,7.666666666666667,1.0
2.0,25-34,5.0,3.0,7.0,4.0,7.75,4.0,1.0,4.0,7.0,4.0,1.0,7.75,7.0,10.0,1.0,1.0,1.0,3.25,3.25,3.5199999999999996,1.0,4.333333333333333,1.0,1.0,10.0,4.333333333333333,1.0
2.0,35-44,5.0,3.0,1.0,4.0,7.75,4.0,1.0,10.0,5.5,10.0,10.0,7.75,4.0,10.0,1.0,1.0,1.0,1.0,5.5,3.16,1.0,1.0,10.0,3.25,10.0,7.666666666666667,1.0
2.0,19-24,5.0,3.0,7.0,4.0,7.75,4.0,3.25,1.0,5.249999999999999,1.0,10.0,5.5,5.5,6.3999999999999995,10.0,1.0,2.3333333333333335,1.0,5.5,3.5199999999999996,2.2857142857142856,5.333333333333333,10.0,3.25,,6.0,1.0
2.0,0-18,5.0,3.0,5.0,1.0,7.75,7.0,2.5,8.5,6.75,8.5,10.0,6.25,5.5,6.3999999999999995,10.0,1.0,1.6666666666666667,3.25,1.0,3.5199999999999996,1.6428571428571428,5.0,1.0,1.0,10.0,6.333333333333333,1.0
2.0,65+,2.0,3.0,5.0,4.0,7.75,4.0,1.0,8.5,8.25,5.5,1.0,5.5,7.0,8.2,1.0,1.0,1.0,3.25,5.5,3.5199999999999996,1.0,1.0,10.0,1.0,10.0,7.0,2.0
1.0,25-34,5.0,3.0,7.0,4.0,5.5,4.0,2.5,2.5,8.5,5.5,1.0,5.5,4.0,4.6,1.0,1.0,5.333333333333333,1.0,7.75,3.34,4.857142857142857,3.6666666666666665,10.0,3.25,10.0,6.0,4.0
1.0,19-24,2.0,3.0,7.0,4.0,7.75,4.0,3.0,2.5,8.0,5.5,1.0,3.25,1.0,4.6,1.0,1.0,5.333333333333333,1.0,3.25,3.34,5.5,3.6666666666666665,1.0,5.5,10.0,6.0,1.0
1.0,0-18,4.0,3.0,5.999999999999999,1.0,5.5,10.0,1.0,10.0,6.75,5.5,1.0,5.0,1.0,1.0,5.5,1.0,6.333333333333333,1.0,5.5,1.225,6.7857142857142865,6.333333333333333,1.0,5.5,10.0,6.333333333333333,1.0
2.0,35-44,4.0,3.0,4.0,4.0,10.0,1.0,1.0,4.0,9.5,4.0,1.0,3.25,1.0,1.0,10.0,10.0,1.0,1.0,7.75,3.5199999999999996,1.0,1.0,10.0,1.0,10.0,6.333333333333333,1.0
2.0,35-44,5.0,3.0,1.0,7.0,3.25,7.0,2.0,10.0,8.5,10.0,10.0,7.75,7.0,1.0,10.0,1.0,1.0,1.0,5.5,3.16,1.6428571428571428,2.3333333333333335,10.0,3.25,10.0,7.666666666666667,1.0
1.0,19-24,5.0,3.0,5.999999999999999,4.0,7.75,4.0,1.0,5.5,6.5,1.0,1.0,6.5,7.0,6.3999999999999995,10.0,1.0,1.0,3.25,5.5,3.5199999999999996,1.6428571428571428,2.3333333333333335,1.0,1.0,10.0,6.666666666666667,2.0
